date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:37:21	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d2431a6-5fecfc90ed786b9;gz%22	https://shtheme.com/robots.txt		(from )
19:37:21	54175/54175	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20Apr%202022%2012:38:32%20GMT	https://shtheme.com/demosd/nowarch/	D:/theme/shtheme.com/demosd/nowarch/index.html	(from )
19:37:22	2344/2344	---M--	200	added ('OK')	image/png	etag:%22928-62383c1c-a638b30904d19f2;;;%22	https://shtheme.com/demosd/nowarch/wp-content/uploads/2022/01/favicon.png	D:/theme/shtheme.com/demosd/nowarch/wp-content/uploads/2022/01/favicon.png	(from https://shtheme.com/demosd/nowarch/)
19:37:22	83419/83419	---M-Z	200	added ('OK')	text/css	etag:%22145db-624d20d5-c76e9d33b99aabcf;gz%22	https://shtheme.com/demosd/nowarch/wp-includes/css/dist/block-library/style.min.css?ver=5.9.3	D:/theme/shtheme.com/demosd/nowarch/wp-includes/css/dist/block-library/style.min7404.css	(from https://shtheme.com/demosd/nowarch/)
19:37:22	32004/32004	---MCZ	200	added ('OK')	application/rss+xml	etag:%22216bb1b9d3ef2a85148ab0479138137e%22	https://shtheme.com/demosd/nowarch/?feed=rss2	D:/theme/shtheme.com/demosd/nowarch/indexd784.html	(from https://shtheme.com/demosd/nowarch/)
19:37:23	1683/1683	---M-Z	200	added ('OK')	text/css	etag:%22693-62383c15-2f0e7197263b2c01;gz%22	https://shtheme.com/demosd/nowarch/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.2	D:/theme/shtheme.com/demosd/nowarch/wp-content/plugins/contact-form-7/includes/css/stylesce52.css	(from https://shtheme.com/demosd/nowarch/)
19:37:23	637/637	---M-Z	200	added ('OK')	text/css	etag:%2227d-62383c18-ad4d5ce4fba5a943;gz%22	https://shtheme.com/demosd/nowarch/wp-content/themes/nowarch/assets/css/plugins.css?ver=5.9.3	D:/theme/shtheme.com/demosd/nowarch/wp-content/themes/nowarch/assets/css/plugins7404.css	(from https://shtheme.com/demosd/nowarch/)
19:37:23	63133/63133	---M-Z	200	added ('OK')	text/css	etag:%22f69d-62383c18-495daf27f15fd207;gz%22	https://shtheme.com/demosd/nowarch/wp-content/themes/nowarch/assets/css/style.css?ver=5.9.3	D:/theme/shtheme.com/demosd/nowarch/wp-content/themes/nowarch/assets/css/style7404.css	(from https://shtheme.com/demosd/nowarch/)
19:37:23	6362/6362	---M-Z	200	added ('OK')	text/css	etag:%2218da-62383c1a-6b456988bc29bf69;gz%22	https://shtheme.com/demosd/nowarch/wp-content/themes/nowarch/style.css?ver=2022-01-17	D:/theme/shtheme.com/demosd/nowarch/wp-content/themes/nowarch/style493a.css	(from https://shtheme.com/demosd/nowarch/)
19:37:23	5006/5006	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a9559360f43005464172f3e1b82cc44c%22	https://shtheme.com/demosd/nowarch/?feed=comments-rss2	D:/theme/shtheme.com/demosd/nowarch/indexa6da.html	(from https://shtheme.com/demosd/nowarch/)
